NO,PRODI,Selesai,On going,Total Alumni (N),Belum mengisi kuesioner,Email bouncing = email tidak valid,percentage,Fakultas,Tahun Survey
1.0,Oseanografi,39.0,0.0,39.0,0.0,,100.0,Fakultas Ilmu dan Teknologi Kebumian,2018
2.0,Teknik Kelautan,66.0,0.0,66.0,0.0,,100.0,Fakultas Teknik Sipil dan Lingkungan,2018
3.0,Teknik Lingkungan,75.0,0.0,75.0,0.0,,100.0,Fakultas Teknik Sipil dan Lingkungan,2018
4.0,Teknik Metalurgi,34.0,0.0,34.0,0.0,,100.0,Fakultas Teknik Pertambangan dan Perminyakan,2018
5.0,Arsitektur,112.0,0.0,112.0,0.0,,100.0,"Sekolah Arsitektur, Perencanaan dan Pengembangan Kebijakan",2018
6.0,Farmasi Klinik,53.0,0.0,53.0,0.0,,100.0,Sekolah Farmasi,2018
7.0,Astronomi,26.0,0.0,26.0,0.0,,100.0,Fakultas Matematika dan Ilmu Pengetahuan Alam,2018
8.0,Meteorologi,40.0,0.0,40.0,0.0,,100.0,Fakultas Ilmu dan Teknologi Kebumian,2018
9.0,Fisika,100.0,0.0,100.0,0.0,,100.0,Fakultas Matematika dan Ilmu Pengetahuan Alam,2018
10.0,Seni Rupa,35.0,0.0,35.0,0.0,,100.0,Fakultas Seni Rupa dan Desain,2018
11.0,Teknik Pertambangan,62.0,0.0,62.0,0.0,,100.0,Fakultas Teknik Pertambangan dan Perminyakan,2018
12.0,Aeronotika dan Astronotika,51.0,0.0,51.0,0.0,,100.0,Fakultas Teknik Mesin dan Dirgantara,2018
13.0,Manajemen Rekayasa Industri,49.0,0.0,49.0,0.0,,100.0,Fakultas Teknologi Industri,2018
14.0,Teknik Sipil,159.0,0.0,159.0,0.0,,100.0,Fakultas Teknik Sipil dan Lingkungan,2018
15.0,Mikrobiologi,40.0,0.0,40.0,0.0,,100.0,Sekolah Ilmu dan Teknologi Hayati,2018
16.0,Matematika,107.0,0.0,107.0,0.0,,100.0,Fakultas Matematika dan Ilmu Pengetahuan Alam,2018
17.0,Teknik Tenaga Listrik,60.0,0.0,60.0,0.0,,100.0,Sekolah Teknik Elektro dan Informatika,2018
18.0,Teknik Industri,109.0,0.0,109.0,0.0,,100.0,Fakultas Teknologi Industri,2018
19.0,Teknik Telekomunikasi,34.0,0.0,34.0,0.0,,100.0,Sekolah Teknik Elektro dan Informatika,2018
20.0,Perencanaan Wilayah dan Kota,91.0,0.0,92.0,1.0,,98.91304347826086,"Sekolah Arsitektur, Perencanaan dan Pengembangan Kebijakan",2018
21.0,Teknik Geologi,86.0,0.0,87.0,1.0,,98.85057471264368,Fakultas Ilmu dan Teknologi Kebumian,2018
22.0,Desain Produk,40.0,1.0,41.0,0.0,,97.5609756097561,Fakultas Seni Rupa dan Desain,2018
23.0,Rekayasa Hayati,39.0,0.0,40.0,1.0,,97.5,Sekolah Ilmu dan Teknologi Hayati,2018
24.0,Kriya,39.0,0.0,40.0,1.0,,97.5,Fakultas Seni Rupa dan Desain,2018
25.0,Teknik Mesin,128.0,2.0,133.0,3.0,,96.2406015037594,Fakultas Teknik Mesin dan Dirgantara,2018
26.0,Kimia,100.0,0.0,104.0,4.0,,96.15384615384616,Fakultas Matematika dan Ilmu Pengetahuan Alam,2018
